desc,name,id
帝姓李氏，諱世民，神堯次子，聰明英武。貞觀之治，庶幾成康，功德兼隆。由漢以來，未之有也。而銳情經術，初建秦邸，即開文學館，召名儒十八人爲學士。既即位，殿左置弘文館，悉引內學士，番宿更休。聽朝之間，則與討論典籍，雜以文詠。或日昃夜艾，未嘗少怠。詩筆草隸，卓越前古。至於天文秀發，沈麗高朗，有唐三百年風雅之盛，帝實有以啓之焉。在位二十四年，諡曰文。集四十卷。館閣書目，詩一卷，六十九首。今編詩一卷。,太宗皇帝,f78aa699-e012-4059-9e29-5d30e16cc1d8
帝諱治，文皇第九子，始封晉王。貞觀十七年，立爲皇太子。在位三十四年，諡曰天皇大帝。集八十六卷，今失傳。存詩八首。,高宗皇帝,1701410c-07da-42a3-b2fb-7b1e407d7d52
帝諱顯，高宗第七子，始封周王。儀鳳二年，徙封英王，改名哲。永隆元年，立爲皇太子，及即位，太后臨朝稱制，廢帝爲廬陵王。神龍元年，復辟，在位六年，諡曰孝和。帝於景龍中，置修文館學士，盛引詞學之臣，從侍游醼。春幸梨園，並渭水祓除，則賜細柳圈辟惡。夏宴蒲萄園，賜朱櫻。秋登慈恩浮圖，獻菊花酒稱壽。冬幸新豐，歷白鹿觀，上驪山，賜浴湯池，給香粉蘭澤。從行給翔麟馬，品官黃衣各一。帝有所感，即賦詩，學士皆屬和焉。集四十卷，失傳，今存詩及聯句詩七首。,中宗皇帝,ba551bb1-878d-41f6-8577-a41e16fff688
帝諱旦，高宗第八子，中宗母弟，封相王。景龍四年，即皇帝位。帝謙恭孝友，好學，工草隸，尤愛文字訓詁之書。在位三年，諡曰大聖貞皇帝。詩一首。,睿宗皇帝,512b79d1-73c4-4fff-91bd-fc9af6b02974
帝諱隆基，睿宗第三子，始封楚王，後爲臨淄郡王。景雲元年，進封平王，立爲皇太子，英武多能。開元之際，勵精政事，海內殷盛，旁求宏碩，講道藝文。貞觀之風，一朝復振。在位四十七年。諡曰明。詩一卷。 帝諱隆基，睿宗第三子，始封楚王，後爲臨淄郡王。景雲元年，進封平王，立爲皇太子，英武多能。開元之際，勵精政事，海內殷盛，旁求宏碩，講道藝文。貞觀之風，一朝復振。在位四十七年。諡曰明。詩一卷。,明皇帝,20a8a766-a18a-4193-85fb-04eb4aeb9e60
帝諱亨，明皇第三子，初名嗣昇，封陝王。開元十五年，更名浚，徙封忠王。二十三年，又更名璵。明年，立爲皇太子。二十八年，又更名紹。天寶三載，乃更名亨。明皇幸蜀，即位於靈武。聰明彊記，屬詞典麗。在位七年，諡曰宣。詩四首。,肅宗皇帝,fecb4aa8-a9a7-401b-bb21-4e8ac50ae478
帝諱适，代宗長子，初封奉節郡王。乾元元年，進封魯王。八月，徙封雍王。廣德二年，立爲皇太子。善屬文，尤長於篇什。每與學士言詩於浴堂殿，夜分不寐。三令節，御製詩敕羣臣賡和，品第優劣，四方貢藝者，帝多親試。或有乖謬，濃點筆抹之。稱旨，即翹足朗吟。詫宰相，此朕門生，無不服帝之藻鑑焉。在位二十五年，諡曰孝文。集不傳，今存詩十五首。,德宗皇帝,92a37482-aa8f-4c45-99f7-e8ba28d4b0c5
帝諱昂，穆宗第二子。初名涵，封江王。寶曆二年，即位。恭儉儒雅，聽政之暇，博通羣籍。顧謂左右曰：“若不甲夜視事，乙夜觀書，何以爲人君？”每試進士，新裁題目。及所司進所試，披覽吟詠，終日忘倦。延學士於內庭，討論經義，好製五言，古調清峻，常欲置詩博士。李珏言：“今翰林學士皆能文詞，且古今篇什，足可怡悅。”聖情乃止。又嘗與宰相論詩之工拙，鄭覃曰：“詩之工者，無若《三百篇》，皆國人作之以刺美時政，王者采之以觀風俗。後代詞人，華而不實，無補於事。”帝甚重其言。在位十三年，諡曰昭獻。今存詩七首。,文宗皇帝,06b99b3e-7287-4c99-ab14-ade5fa5edb6c
帝諱忱，憲宗第十三子，初名怡，封光王。會昌六年，立爲皇太叔，恭儉好善，虛襟聽納，大中之政，有貞觀風。每曲宴，與學士倡和，公卿出鎮，多賦詩餞行。重科第，留心貢舉。常微行，采輿論，察知選士之得失。其對朝臣，必問及第與所試詩賦題，主司姓氏，苟有科名對者，必大喜。或佳人物偶不中第，必歎息移時。常於內自題鄉貢進士李道龍云。在位十三年，諡曰獻文，詩六首。,宣宗皇帝,004b8cf8-4ce4-4226-af20-28fddd009d90
帝諱曄，懿宗第七子，初名傑，封壽王。文德元年，立爲皇太弟。在位十四年。帝攻書好文，而承廣明寇亂之後，唐祚日衰，遺詩隻韻，皆其播遷所製也。 帝諱曄，懿宗第七子，初名傑，封壽王。文德元年，立爲皇太弟。在位十四年。帝攻書好文，而承廣明寇亂之後，唐祚日衰。遺詩隻韻，皆其播遷所製也。,昭宗皇帝,35062aa9-2daf-40af-ac23-7dc63ea1a1ec
太宗后，長孫氏，河南洛陽人。隋左驍衛將軍晟之女。武德九年，立爲皇后。喜圖傳，視古今善惡以自鑒。矜尚禮法，常采古婦人事，作《女則》一篇，今存詩一首。,文德皇后,d630d1f7-be95-4074-901b-33d7aa9fb07f
高宗后，武氏，幷州文水人，荆州都督士彠之女。永徽六年，立爲皇后。中宗即位，稱皇太后。臨朝，尋自稱皇帝，改國號曰周，自名曌，在位二十二年。中宗反正，諡則天順聖皇后。有《垂拱集》百卷，《金輪集》六卷，今存詩四十六篇。,則天皇后,a9467a04-4b98-43ef-9f6b-79b13c0249ca
妃名惠，湖州長城人，生五月能言，四歲通論語詩，八歲自曉屬文。辭致贍蔚，又無淹思，太宗召爲才人，再遷充容。常上疏論時政，帝善其言，優賜之。永徽元年，贈賢妃。詩五首。,徐賢妃,f4b485ca-1544-40be-a2bd-c0c4f6e9c93b
昭容名婉兒，西臺侍郎儀之孫。天后時，配入掖庭。天性韶警，善文章，年十四，后召見。自通天以來，內掌詔令。中宗即位，大被信任，進拜昭容，勸帝侈大書館，增學士員，引大臣名儒充選。數賜宴，賦詩，君臣賡和。婉兒常代帝及后長寧、安樂二主，衆篇竝作，詞旨益新。又差第羣臣所賦，賜金爵，故朝廷靡然成風。當時屬辭者，大抵雖浮豔，然皆有可觀，婉兒力也。臨淄王兵起，被誅。開元初，裒次其文章，詔張說題篇，集二十卷，今失傳，存詩三十二篇。,上官昭容,bd995deb-f5be-465f-bc1f-9348f0ae3631
妃，蒲州永樂人。匄籍女官，號太真。善歌舞，邃曉音律，智算警穎，恩幸無比，宮中號娘子。天寶初，進冊貴妃。十五載，西幸至馬嵬，縊路祠下。有詩一篇。,楊貴妃,02ab63b8-2a8c-4205-aa8b-df59281a4a34
妃名采蘋，莆田人。開元初，高力士選歸，侍明皇，大見寵幸。善屬文，自比謝女。所居悉植梅花，帝因其所好，戲名梅妃。有詩一篇。,江妃,22a1cda8-b2f5-493c-b71b-0885512b4bfd
太子名賢，字明允，高宗第六子。容止端重，甫數歲，讀書一覽輒不忘。上元二年，立爲皇太子。嘗詔集諸儒張大安等注《後漢書》。武后以明崇儼爲盜所殺，疑出太子之謀，誣搆而廢之。后得政，遂遇害。詩一首。,章懷太子,0fc43481-64f8-4539-82e0-3dc7c4038e96
王，高祖第十一子。少好學，聚書至萬卷，皆以古文字參定同異。閨門修整，當世稱之。中宗廢居房陵，王與越王貞父子謀舉兵反正，未發而泄，爲武后所殺。有詩一首。,韓王元嘉,95a60ce7-b2b7-44e2-a176-bb3b4ddcdf42
王，太宗第八子。善騎射，涉文史，有吏幹，爲宗室材王。垂拱中，王與韓王元嘉等謀舉兵反正，事敗，仰藥卒。有詩一首。,越王貞,5582aaf6-e865-44b4-97d4-1a4f2f7e3d1e
信安王禕，太宗孫，吳王恪次子，特封嗣江王。開元時，徙封信安。歷兵部尚書，朔方節度使，坐事，除衢州刺史。天寶初，以太子少師致仕。詩一首。,信安王禕,11b1b1bf-0ff9-4978-9b81-b09fe3bc9c22
公主本豆盧氏女，有才色。天寶四載，奚霫無主，安祿山請立其質子，而以公主配之。上遣中使護送，至虛池驛，悲愁作詩一首。,宜芬公主,4d94a062-239f-4a74-b13c-3702e66a33bd
貝州宋廷芬，之問裔孫也，生一男五女。男獨愚，不可教，而五女皆警慧，善屬文，曰若華、若昭、若倫、若憲、若荀。若昭文尤高，且悉稟性貞素，不願歸人，欲以學名家。貞元中，竝召入宮，帝與侍臣賡和，五人者咸預，高其風操，不以妾侍命之，呼學士。倫、荀先卒。自貞元七年，祕禁圖籍，詔若華總領。元和末，贈河內郡君。詩一首。,女學士宋氏若華,6e18dba1-0735-49c2-8c28-dcf9942b4749
穆宗拜若昭尚宮，嗣若華秩，歷穆敬文三朝，皆呼先生，進封梁國夫人。詩一首。,尚宮宋氏若昭,f7cb7b8a-0fc0-4f95-9449-222a0f26f6f3
寶曆初，若昭卒，若憲復代司宮籍。詩一首。,尚宮宋氏若憲,8cd7d86d-8de4-4e43-abe9-cc8e9141e501
鮑君徽，字文姬，鮑徵君女。善詩，與尚宮五宋齊名。德宗嘗召入宮，與侍臣賡和，賞賚甚厚。存詩四首。,鮑氏君徽,14d66dc8-3116-4818-8808-0ccc3f2f9a9a
蕭妃，武陵郡王伯良妃。詩一首。,蕭妃,ce52be3d-02e4-482a-aa83-db157bb14517
昪，字正倫，徐州人。楊行密養爲子，以乞徐溫。初冒姓徐，名知誥。代溫秉政，受楊氏禪，僭帝位，諡烈祖。傳國三十九年。詩一篇。,南唐先主李昪,b52bd799-9942-47b6-b1bc-066528e44c99
璟，字伯玉，烈祖子。風度高秀，善屬文，諡元宗。詩二首。,嗣主璟,3ff153ed-63bb-4b78-824b-4476266c29bf
煜，字重光，南唐元宗子。仁孝，善屬文，工書畫，妙於音律。置澄心堂於內苑，引文士居其間，嘗著《雜說》百篇，時人以爲可繼《典論》。開寶中，封隴西公，贈吳王。集十卷，詩一卷，失傳，今存詩十八首。,後主煜,de1de699-3955-416a-b123-75f650048e6f
從善，字子師，元宗第七子，宋改封楚國公。詩一首。,韓王從善,bd2c80be-c21b-4625-b1b9-0c160dc83723
從謙，元完第九子，後主母弟也。風采峭整，動有規誨，喜爲律詩。宋改封鄂國公。詩一首。,吉王從謙,90030281-cdd7-4500-9400-637401109449
